MUNICIPIO,QTD_CVLI
Acarape,6
Acaraú,8
Acopiara,13
Acopiara HOMICIDIO DOLOSO,1
Aiuaba,1
Altaneira,1
Alto Santo,10
Amarante,21
Amontada,10
Antonina do Norte,2
Apuiarés,1
Aquiraz,31
Aquiraz HOMICIDIO DOLOSO,1
Aracati,10
Aracati HOMICIDIO DOLOSO,1
Aracoiaba,12
Aracoiaba HOMICIDIO DOLOSO,2
Aratuba,3
Arneiróz,1
Assaré,6
Aurora,2
Banabuiú,15
Barbalha,8
Barreira,6
Barro,1
Barroquinha,2
Baturité,3
Beberibe,8
Bela Cruz,3
Boa Viagem,5
Brejo Santo,5
Camocim,3
Campos Sales,8
Canindé,15
Capistrano,5
Caridade,6
Caridade HOMICIDIO DOLOSO,2
Caririaçu,2
Caririaçu HOMICIDIO DOLOSO,1
Cariré,2
Cariús,3
Carnaubal,2
Cascavel,24
Catarina,1
Caucaia,204
Caucaia HOMICIDIO DOLOSO,2
Chorozinho,25
Choró,4
Choró HOMICIDIO DOLOSO,1
Coreaú,7
Crateús,5
Crato,17
Crato HOMICIDIO DOLOSO,2
Croatá,1
Cruz,5
Dep. Irapuan Pinheiro,2
Ererê,1
Eusébio,23
Farias Brito,2
Forquilha,9
Forquilha HOMICIDIO DOLOSO,1
Fortaleza,626
Fortaleza FEMINICÍDIO,1
Fortaleza HOMICIDIO DOLOSO,13
Fortim,2
Frecheirinha,1
General Sampaio,3
Granja,4
Granjeiro,1
Graça,1
Groaíras,1
Groaíras HOMICIDIO DOLOSO,1
Guaiúba,28
Guaiúba HOMICIDIO DOLOSO,1
Guaraciaba do Norte,6
Guaraciaba do Norte HOMICIDIO DOLOSO,1
Guaramiranga,7
Hidrolândia,1
Horizonte,19
Ibiapina,1
Ibicuitinga,3
Icapuí,4
Icó,5
Iguatu,15
Independência,7
Ipaporanga,1
Ipu,1
Ipueiras,5
Ipueiras HOMICIDIO DOLOSO,1
Irauçuba,3
Itaitinga,14
Itapajé,4
Itapipoca,21
Itapiúna,4
Itarema,10
Itatira,4
Jaguaretama,2
Jaguaribe,1
Jaguaruana,4
Jardim,2
Jati,1
Jijoca de Jericoacoara,5
Juazeiro do Norte,67
Juazeiro do Norte HOMICIDIO DOLOSO,1
Jucás,2
Lavras da Mangabeira,1
Limoeiro do Norte,11
Madalena,3
Maracanaú,112
Maracanaú HOMICIDIO DOLOSO,1
Maranguape,54
Maranguape HOMICIDIO DOLOSO,2
Marco,7
Martinópole,1
Massapê,4
Mauriti,9
Milagres,5
Milhã,8
Miraíma,1
Missão Velha,8
Mombaça,5
Monsenhor Tabosa,4
Morada Nova,17
Mucambo,1
Mulungu,1
Nova Jaguaribara,6
Nova Jaguaribara HOMICIDIO DOLOSO,1
Nova Olinda,1
Nova Russas,3
Novo Oriente,5
Ocara,4
Orós,7
Pacajus,27
Pacatuba,31
Pacoti,5
Pacujá,2
Palmácia,4
Paracuru,11
Paracuru HOMICIDIO DOLOSO,1
Paraipaba,3
Parambu,6
Paramoti,3
Pedra Branca,7
Penaforte,2
Pentecoste,4
Pereiro,1
Pindoretama,3
Piquet Carneiro,2
Poranga,1
Porteiras,5
Potengi,3
Potiretama,1
Quiterianópolis,4
Quixadá,22
Quixelô HOMICIDIO DOLOSO,1
Quixeramobim,11
Quixeré,10
Redenção,5
Reriutaba,3
Russas,14
Saboeiro,5
Salitre,3
Santa Quitéria,17
Santa Quitéria HOMICIDIO DOLOSO,1
Santana do Acaraú,10
Santana do Cariri,3
Senador Pompeu,3
Senador Sá,2
Sobral,57
Sobral HOMICIDIO DOLOSO,1
Solonópole,5
São Benedito,8
São Gonçalo do,22
São João do Jaguaribe,8
São Luís do Curu,2
Tabuleiro do Norte,10
Tamboril,3
Tarrafas,2
Tauá,5
Tianguá,8
Trairi,29
Tururu,2
UNIDADE PRISIONAL,3
Ubajara,4
Umirim,4
Uruburetama,5
Uruoca,2
Varjota,3
Viçosa do Ceará,3
Várzea Alegre,2
