MUNICIPIO,QTD_CVLI
ABAIARA,0
ACARAPE,6
ACARAU,8
ACOPIARA,14
AIUABA,1
ALCANTARAS,0
ALTANEIRA,1
ALTO SANTO,10
AMONTADA,10
ANTONINA DO NORTE,2
APUIARES,1
AQUIRAZ,32
ARACATI,11
ARACOIABA,14
ARARENDA,0
ARARIPE,0
ARATUBA,3
ARNEIROZ,1
ASSARE,6
AURORA,2
BAIXIO,0
BANABUIU,15
BARBALHA,8
BARREIRA,6
BARRO,1
BARROQUINHA,2
BATURITE,3
BEBERIBE,8
BELA CRUZ,3
BOA VIAGEM,5
BREJO SANTO,5
CAMOCIM,3
CAMPOS SALES,8
CANINDE,15
CAPISTRANO,5
CARIDADE,8
CARIRE,2
CARIRIACU,3
CARIUS,3
CARNAUBAL,2
CASCAVEL,24
CATARINA,1
CATUNDA,0
CAUCAIA,206
CEDRO,0
CHAVAL,0
CHORO,5
CHOROZINHO,25
COREAU,7
CRATEUS,5
CRATO,19
CROATA,1
CRUZ,5
DEPUTADO IRAPUAN PINHEIRO,2
ERERE,1
EUSEBIO,23
FARIAS BRITO,2
FORQUILHA,10
FORTALEZA,640
FORTIM,2
FRECHEIRINHA,1
GENERAL SAMPAIO,3
GRACA,1
GRANJA,4
GRANJEIRO,1
GROAIRAS,2
GUAIUBA,29
GUARACIABA DO NORTE,7
GUARAMIRANGA,7
HIDROLANDIA,1
HORIZONTE,19
IBARETAMA,0
IBIAPINA,1
IBICUITINGA,3
ICAPUI,4
ICO,5
IGUATU,15
INDEPENDENCIA,7
IPAPORANGA,1
IPAUMIRIM,0
IPU,1
IPUEIRAS,6
IRACEMA,0
IRAUCUBA,3
ITAICABA,0
ITAITINGA,14
ITAPAJE,4
ITAPIPOCA,21
ITAPIUNA,4
ITAREMA,10
ITATIRA,4
JAGUARETAMA,2
JAGUARIBARA,7
JAGUARIBE,1
JAGUARUANA,4
JARDIM,2
JATI,1
JIJOCA DE JERICOACOARA,5
JUAZEIRO DO NORTE,68
JUCAS,2
LAVRAS DA MANGABEIRA,1
LIMOEIRO DO NORTE,11
MADALENA,3
MARACANAU,113
MARANGUAPE,56
MARCO,7
MARTINOPOLE,1
MASSAPE,4
MAURITI,9
MERUOCA,0
MILAGRES,5
MILHA,8
MIRAIMA,1
MISSAO VELHA,8
MOMBACA,5
MONSENHOR TABOSA,4
MORADA NOVA,17
MORAUJO,0
MORRINHOS,0
MUCAMBO,1
MULUNGU,1
NOVA OLINDA,1
NOVA RUSSAS,3
NOVO ORIENTE,5
OCARA,4
OROS,7
PACAJUS,27
PACATUBA,31
PACOTI,5
PACUJA,2
PALHANO,0
PALMACIA,4
PARACURU,12
PARAIPABA,3
PARAMBU,6
PARAMOTI,3
PEDRA BRANCA,7
PENAFORTE,2
PENTECOSTE,4
PEREIRO,1
PINDORETAMA,3
PIQUET CARNEIRO,2
PIRES FERREIRA,0
PORANGA,1
PORTEIRAS,5
POTENGI,3
POTIRETAMA,1
QUITERIANOPOLIS,4
QUIXADA,23
QUIXELO,0
QUIXERAMOBIM,11
QUIXERE,10
REDENCAO,5
RERIUTABA,3
RUSSAS,14
SABOEIRO,5
SALITRE,3
SANTA QUITERIA,18
SANTANA DO ACARAU,10
SANTANA DO CARIRI,3
SAO BENEDITO,8
SAO GONCALO DO AMARANTE,22
SAO JOAO DO JAGUARIBE,8
SAO LUIS DO CURU,2
SENADOR POMPEU,3
SENADOR SA,2
SOBRAL,58
SOLONOPOLE,5
TABULEIRO DO NORTE,10
TAMBORIL,3
TARRAFAS,2
TAUA,5
TEJUCUOCA,0
TIANGUA,8
TRAIRI,29
TURURU,2
UBAJARA,4
UMARI,0
UMIRIM,4
URUBURETAMA,5
URUOCA,2
VARJOTA,3
VARZEA ALEGRE,2
VICOSA DO CEARA,3
