codigo_ibge,nome,latitude,longitude,UF,COD_MUNIC,NOTA_IDEB
2300101.0,ABAIARA,-7.34588,-39.0416,CE,2300101.0,6.1
2300150.0,ACARAPE,-4.22083,-38.7055,CE,2300150.0,5.4
2300200.0,ACARAU,-2.88769,-40.1183,CE,2300200.0,6.5
2300309.0,ACOPIARA,-6.08911,-39.448,CE,2300309.0,6.0
2300408.0,AIUABA,-6.57122,-40.1178,CE,2300408.0,6.8
2300507.0,ALCANTARAS,-3.58537,-40.5479,CE,2300507.0,7.3
2300606.0,ALTANEIRA,-6.99837,-39.7356,CE,2300606.0,6.5
2300705.0,ALTO SANTO,-5.50894,-38.2743,CE,2300705.0,6.0
2300754.0,AMONTADA,-3.36017,-39.8288,CE,2300754.0,5.8
2300804.0,ANTONINA DO NORTE,-6.76919,-39.987,CE,2300804.0,7.3
2300903.0,APUIARES,-3.94506,-39.4359,CE,2300903.0,5.7
2301000.0,AQUIRAZ,-3.89929,-38.3896,CE,2301000.0,6.0
2301109.0,ARACATI,-4.55826,-37.7679,CE,2301109.0,6.1
2301208.0,ARACOIABA,-4.36872,-38.8125,CE,2301208.0,5.2
2301257.0,ARARENDA,-4.74567,-40.831,CE,2301257.0,8.3
2301307.0,ARARIPE,-7.21319,-40.1359,CE,2301307.0,5.9
2301406.0,ARATUBA,-4.41229,-39.0471,CE,2301406.0,5.7
2301505.0,ARNEIROZ,-6.3165,-40.1653,CE,2301505.0,5.7
2301604.0,ASSARE,-6.8669,-39.8689,CE,2301604.0,6.3
2301703.0,AURORA,-6.93349,-38.9742,CE,2301703.0,5.0
2301802.0,BAIXIO,-6.71945,-38.7134,CE,2301802.0,4.8
2301851.0,BANABUIU,-5.30454,-38.9132,CE,2301851.0,5.7
2301901.0,BARBALHA,-7.2982,-39.3021,CE,2301901.0,6.2
2301950.0,BARREIRA,-4.28921,-38.6429,CE,2301950.0,6.0
2302008.0,BARRO,-7.17188,-38.7741,CE,2302008.0,5.6
2302057.0,BARROQUINHA,-3.02051,-41.1358,CE,2302057.0,7.4
2302107.0,BATURITE,-4.32598,-38.8812,CE,2302107.0,5.5
2302206.0,BEBERIBE,-4.17741,-38.1271,CE,2302206.0,6.0
2302305.0,BELA CRUZ,-3.04996,-40.1671,CE,2302305.0,6.5
2302404.0,BOA VIAGEM,-5.11258,-39.7337,CE,2302404.0,5.3
2302503.0,BREJO SANTO,-7.48469,-38.9799,CE,2302503.0,6.1
2302602.0,CAMOCIM,-2.9005,-40.8544,CE,2302602.0,6.7
2302701.0,CAMPOS SALES,-7.06761,-40.3687,CE,2302701.0,6.6
2302800.0,CANINDE,-4.35162,-39.3155,CE,2302800.0,6.4
2302909.0,CAPISTRANO,-4.45569,-38.9048,CE,2302909.0,5.4
2303006.0,CARIDADE,-4.22514,-39.1912,CE,2303006.0,5.5
2303105.0,CARIRE,-3.94858,-40.476,CE,2303105.0,6.8
2303204.0,CARIRIACU,-7.02808,-39.2828,CE,2303204.0,6.0
2303303.0,CARIUS,-6.52428,-39.4916,CE,2303303.0,5.5
2303402.0,CARNAUBAL,-4.15985,-40.9413,CE,2303402.0,6.9
2303501.0,CASCAVEL,-4.12967,-38.2412,CE,2303501.0,6.7
2303600.0,CATARINA,-6.12291,-39.8736,CE,2303600.0,6.0
2303659.0,CATUNDA,-4.64336,-40.2,CE,2303659.0,8.2
2303709.0,CAUCAIA,-3.72797,-38.6619,CE,2303709.0,5.2
2303808.0,CEDRO,-6.60034,-39.0609,CE,2303808.0,5.7
2303907.0,CHAVAL,-3.03571,-41.2435,CE,2303907.0,6.3
2303931.0,CHORO,-4.83906,-39.1344,CE,2303931.0,5.7
2303956.0,CHOROZINHO,-4.28873,-38.4986,CE,2303956.0,6.4
2304004.0,COREAU,-3.5415,-40.6587,CE,2304004.0,6.6
2304103.0,CRATEUS,-5.16768,-40.6536,CE,2304103.0,6.7
2304202.0,CRATO,-7.2153,-39.4103,CE,2304202.0,5.5
2304236.0,CROATA,-4.40481,-40.9022,CE,2304236.0,6.2
2304251.0,CRUZ,-2.91813,-40.176,CE,2304251.0,8.3
2304269.0,DEPUTADO IRAPUAN PINHEIRO,-5.91485,-39.257,CE,2304269.0,8.3
2304277.0,ERERE,-6.02751,-38.3461,CE,2304277.0,6.3
2304285.0,EUSEBIO,-3.8925,-38.4559,CE,2304285.0,6.1
2304301.0,FARIAS BRITO,-6.92146,-39.5651,CE,2304301.0,6.4
2304350.0,FORQUILHA,-3.79945,-40.2634,CE,2304350.0,7.0
2304400.0,FORTALEZA,-3.71664,-38.5423,CE,2304400.0,6.2
2304459.0,FORTIM,-4.45126,-37.7981,CE,2304459.0,6.7
2304509.0,FRECHEIRINHA,-3.75557,-40.818,CE,2304509.0,7.8
2304608.0,GENERAL SAMPAIO,-4.04351,-39.454,CE,2304608.0,5.7
2304657.0,GRACA,-4.04422,-40.749,CE,2304657.0,6.9
2304707.0,GRANJA,-3.12788,-40.8372,CE,2304707.0,7.0
2304806.0,GRANJEIRO,-6.88134,-39.2144,CE,2304806.0,6.0
2304905.0,GROAIRAS,-3.91787,-40.3852,CE,2304905.0,7.6
2304954.0,GUAIUBA,-4.04057,-38.6404,CE,2304954.0,5.6
2305001.0,GUARACIABA DO NORTE,-4.15814,-40.7476,CE,2305001.0,6.6
2305100.0,GUARAMIRANGA,-4.26248,-38.932,CE,2305100.0,6.0
2305209.0,HIDROLANDIA,-4.40958,-40.4056,CE,2305209.0,6.6
2305233.0,HORIZONTE,-4.1209,-38.4707,CE,2305233.0,6.9
2305266.0,IBARETAMA,-4.80376,-38.7501,CE,2305266.0,5.1
2305308.0,IBIAPINA,-3.92403,-40.8911,CE,2305308.0,6.3
2305332.0,IBICUITINGA,-4.96999,-38.6362,CE,2305332.0,6.0
2305357.0,ICAPUI,-4.71206,-37.3531,CE,2305357.0,6.0
2305407.0,ICO,-6.39627,-38.8554,CE,2305407.0,5.0
2305506.0,IGUATU,-6.36281,-39.2892,CE,2305506.0,5.7
2305605.0,INDEPENDENCIA,-5.38789,-40.3085,CE,2305605.0,9.1
2305654.0,IPAPORANGA,-4.89764,-40.7537,CE,2305654.0,7.4
2305704.0,IPAUMIRIM,-6.78265,-38.7179,CE,2305704.0,5.2
2305803.0,IPU,-4.31748,-40.7059,CE,2305803.0,5.9
2305902.0,IPUEIRAS,-4.53802,-40.7118,CE,2305902.0,6.3
2306009.0,IRACEMA,-5.8124,-38.2919,CE,2306009.0,6.5
